"","pathway","N","DE","P.DE","FDR","mean_change_PM_vs_BM","dir","subset"
"640","GO:0043244 regulation of protein complex disassembly",63,45,0.0239244616928564,0.642297032510403,-0.000823821321637871,"hypo","Biological processes"
"641","GO:0046321 positive regulation of fatty acid oxidation",12,11,0.0240270058595298,0.642715840135146,-0.019782899049678,"hypo","Biological processes"
"642","GO:0004653 polypeptide N-acetylgalactosaminyltransferase activity",20,17,0.0240433024725393,0.642715840135146,-0.00966507596104074,"hypo","Molecular function"
"643","GO:0050790 regulation of catalytic activity",1437,861,0.0240788184274991,0.642715840135146,-0.0040129849265825,"hypo","Biological processes"
"644","GO:0048278 vesicle docking",29,23,0.0240896869425581,0.642715840135146,-0.00654190188561372,"hypo","Biological processes"
"645","GO:0009888 tissue development",1274,772,0.0241626692189542,0.643663538790808,-0.0042988838675867,"hypo","Biological processes"
"646","GO:0009199 ribonucleoside triphosphate metabolic process",471,295,0.0242418852404354,0.64469233232327,-0.00590163404000154,"hypo","Biological processes"
"647","GO:0003057 regulation of the force of heart contraction by chemical signal",7,7,0.0242924878974701,0.64469233232327,-0.0138453172929623,"hypo","Biological processes"
"648","GO:0042803 protein homodimerization activity",550,337,0.0243138535295937,0.64469233232327,-0.00648737186860456,"hypo","Molecular function"
"649","GO:0043627 response to estrogen stimulus",124,83,0.024365065223072,0.645054777600651,-0.00375035120946193,"hypo","Biological processes"
"650","GO:0006006 glucose metabolic process",211,134,0.0244650227343829,0.646704647111027,-0.00589502268871596,"hypo","Biological processes"
"651","GO:0030512 negative regulation of transforming growth factor beta receptor signaling pathway",66,47,0.0245711575081998,0.648512485876942,0.00551960371787111,"hyper","Biological processes"
"652","GO:0000109 nucleotide-excision repair complex",13,11,0.0246515749751843,0.649637057091437,-0.00806804849313301,"hypo","Cellular components"
"653","GO:0005819 spindle",239,153,0.0247316839545286,0.650610107350219,-0.00469177682565281,"hypo","Cellular components"
"654","GO:0051146 striated muscle cell differentiation",218,147,0.0247642306022025,0.650610107350219,-0.0052304058140924,"hypo","Biological processes"
"655","GO:0031333 negative regulation of protein complex assembly",70,50,0.0248117948556807,0.65086451787833,-0.000619115608036906,"hypo","Biological processes"
"656","GO:0060292 long term synaptic depression",11,10,0.0248994366392878,0.652167866366223,0.00462328063490753,"hyper","Biological processes"
"657","GO:0043296 apical junction complex",117,80,0.0252675308085287,0.660801696121979,-0.00509248916086127,"hypo","Cellular components"
"658","GO:0009144 purine nucleoside triphosphate metabolic process",470,294,0.0254077741947143,0.662065212874493,-0.00591882209204063,"hypo","Biological processes"
"659","GO:0006469 negative regulation of protein kinase activity",148,99,0.0254663336346764,0.662065212874493,0.00108331562469383,"hyper","Biological processes"
"660","GO:0014051 gamma-aminobutyric acid secretion",8,8,0.0254699747241322,0.662065212874493,-0.0122498151321255,"hypo","Biological processes"
"661","GO:0015812 gamma-aminobutyric acid transport",8,8,0.0254699747241322,0.662065212874493,-0.0122498151321255,"hypo","Biological processes"
"662","GO:0051046 regulation of secretion",442,270,0.0255314963010389,0.662229705111988,-0.00686012490194989,"hypo","Biological processes"
"663","GO:0061061 muscle structure development",464,298,0.025553386945015,0.662229705111988,-0.00424911566571681,"hypo","Biological processes"
"664","GO:0015377 cation:chloride symporter activity",8,8,0.0256244120671994,0.662952095442808,-0.0139860789297011,"hypo","Molecular function"
"665","GO:0008543 fibroblast growth factor receptor signaling pathway",142,98,0.0256584299539906,0.662952095442808,-0.000783208119308867,"hypo","Biological processes"
"666","GO:0060065 uterus development",13,12,0.0257348701434655,0.663928736944481,-0.0116439415848225,"hypo","Biological processes"
"667","GO:0046907 intracellular transport",1218,721,0.026008053488096,0.669852029973612,-0.00309425735024106,"hypo","Biological processes"
"668","GO:0046320 regulation of fatty acid oxidation",37,28,0.0260829740148585,0.669852029973612,-0.0139599805725043,"hypo","Biological processes"
"669","GO:0043679 axon terminus",59,43,0.0261547162242999,0.669852029973612,-0.0149059172558932,"hypo","Cellular components"
"670","GO:0040008 regulation of growth",516,319,0.0261726767070521,0.669852029973612,-0.00483374983276632,"hypo","Biological processes"
"671","GO:0006195 purine nucleotide catabolic process",463,291,0.02617510111337,0.669852029973612,-0.00592226025605937,"hypo","Biological processes"
"672","GO:0097194 execution phase of apoptosis",199,129,0.0261983799407675,0.669852029973612,0.000483069192470507,"hyper","Biological processes"
"673","GO:0000578 embryonic axis specification",35,27,0.0263522351622937,0.672784702167208,0.005495536071638,"hyper","Biological processes"
"674","GO:0005996 monosaccharide metabolic process",275,170,0.026424084076055,0.67361811957682,-0.00796105372428047,"hypo","Biological processes"
"675","GO:0008037 cell recognition",77,52,0.0265512342244489,0.675856750288119,-0.00653430219282413,"hypo","Biological processes"
"676","GO:0051090 regulation of sequence-specific DNA binding transcription factor activity",334,209,0.0267384743260397,0.67961607377221,-0.000779345494140833,"hypo","Biological processes"
"677","GO:0003321 positive regulation of blood pressure by epinephrine-norepinephrine",6,6,0.0269642561832528,0.684342466382053,-0.00247662855764506,"hypo","Biological processes"
"678","GO:0046328 regulation of JNK cascade",132,90,0.0270649028624287,0.685883718262905,-0.00478250982046641,"hypo","Biological processes"
"679","GO:0003676 nucleic acid binding",3231,1818,0.0272298428919869,0.688690026179201,-0.00193386919011489,"hypo","Molecular function"
"680","GO:0044057 regulation of system process",451,282,0.0272558036201756,0.688690026179201,-0.00900091433239509,"hypo","Biological processes"
"681","GO:0007369 gastrulation",135,90,0.0272962053842573,0.688698092382244,0.000731668328413056,"hyper","Biological processes"
"682","GO:0032204 regulation of telomere maintenance",14,12,0.0273741666715802,0.689652392596909,-0.0137905526679434,"hypo","Biological processes"
"683","GO:0019318 hexose metabolic process",247,155,0.0275191265585474,0.690854262076641,-0.00674334277215055,"hypo","Biological processes"
"684","GO:0001726 ruffle",126,88,0.0275371815324053,0.690854262076641,-0.00373202450198719,"hypo","Cellular components"
"685","GO:0030163 protein catabolic process",528,326,0.02758209928136,0.690854262076641,0.000179491504270987,"hyper","Biological processes"
"686","GO:0006915 apoptotic process",1545,916,0.0275827042128143,0.690854262076641,-0.00344012594019998,"hypo","Biological processes"
"687","GO:0045664 regulation of neuron differentiation",325,217,0.0278385031330164,0.69624623119576,-0.00327577546693523,"hypo","Biological processes"
"688","GO:1901564 organonitrogen compound metabolic process",1675,983,0.0279884017775363,0.697797544911775,-0.00605928499150981,"hypo","Biological processes"
"689","GO:0004549 tRNA-specific ribonuclease activity",12,10,0.028023161069018,0.697797544911775,0.00503397023350026,"hyper","Molecular function"
"690","GO:0080135 regulation of cellular response to stress",281,181,0.0280238416210562,0.697797544911775,-0.00168546308127889,"hypo","Biological processes"
"691","GO:0032272 negative regulation of protein polymerization",45,33,0.0281123223565215,0.697797544911775,0.0012741162042591,"hyper","Biological processes"
"692","GO:0009190 cyclic nucleotide biosynthetic process",112,73,0.0281282327010468,0.697797544911775,-0.00488706652095448,"hypo","Biological processes"
"693","GO:0007063 regulation of sister chromatid cohesion",11,10,0.0281472761849065,0.697797544911775,0.00387864771049027,"hyper","Biological processes"
"694","GO:0042278 purine nucleoside metabolic process",528,327,0.0281848152816187,0.697797544911775,-0.00572419358616228,"hypo","Biological processes"
"695","GO:0044291 cell-cell contact zone",42,32,0.0282294839211396,0.697897831270534,-0.0025759640088665,"hypo","Cellular components"
"696","GO:0031329 regulation of cellular catabolic process",445,283,0.0284170716705141,0.700935369477397,-0.0039505611321427,"hypo","Biological processes"
"697","GO:0046128 purine ribonucleoside metabolic process",525,325,0.0284553619948929,0.700935369477397,-0.00595051655350896,"hypo","Biological processes"
"698","GO:2000779 regulation of double-strand break repair",19,15,0.0284747344834841,0.700935369477397,0.00468890227153521,"hyper","Biological processes"
"699","GO:0001714 endodermal cell fate specification",9,8,0.0285966045841992,0.702928268906595,0.0155483486726346,"hyper","Biological processes"
"700","GO:0072178 nephric duct morphogenesis",8,8,0.0288207709723161,0.704178290384572,-0.00756717858385416,"hypo","Biological processes"
"701","GO:0009260 ribonucleotide biosynthetic process",219,137,0.0288309371853998,0.704178290384572,-0.00692342017405096,"hypo","Biological processes"
"702","GO:2000602 regulation of interphase of mitotic cell cycle",158,103,0.0288470632363215,0.704178290384572,-0.00174218366672717,"hypo","Biological processes"
"703","GO:0072358 cardiovascular system development",768,481,0.0288523755343231,0.704178290384572,-0.00652666004304931,"hypo","Biological processes"
"704","GO:0072359 circulatory system development",768,481,0.0288523755343231,0.704178290384572,-0.00652666004304931,"hypo","Biological processes"
"705","GO:0031256 leading edge membrane",99,70,0.0289346741431283,0.704355270725395,-0.00503276936814611,"hypo","Cellular components"
"706","GO:0003677 DNA binding",2296,1308,0.0289596671265228,0.704355270725395,-0.00159524750026768,"hypo","Molecular function"
"707","GO:0005546 phosphatidylinositol-4,5-bisphosphate binding",28,22,0.0289826083344695,0.704355270725395,-0.0045694882133615,"hypo","Molecular function"
"708","GO:0044710 single-organism metabolic process",3040,1743,0.0290372740018812,0.704687064830964,-0.00636425856786579,"hypo","Biological processes"
"709","GO:0060999 positive regulation of dendritic spine development",12,11,0.0292623878844501,0.708236215565056,-0.00068865367247666,"hypo","Biological processes"
"710","GO:0051409 response to nitrosative stress",9,8,0.0292659593208701,0.708236215565056,0.00371313310425832,"hyper","Biological processes"
"711","GO:1901292 nucleoside phosphate catabolic process",489,305,0.0293578046816347,0.70836072474776,-0.00555899384036895,"hypo","Biological processes"
"712","GO:0016829 lyase activity",152,97,0.0293818177336402,0.70836072474776,-0.012652133899671,"hypo","Molecular function"
"713","GO:0044093 positive regulation of molecular function",1098,668,0.0293947850509343,0.70836072474776,-0.00318213762249466,"hypo","Biological processes"
"714","GO:0001784 phosphotyrosine binding",12,11,0.0295121247793162,0.709184144469543,-0.0119348849423545,"hypo","Molecular function"
"715","GO:0043278 response to morphine",21,17,0.029513340920878,0.709184144469543,-0.00384828467061427,"hypo","Biological processes"
"716","GO:0031090 organelle membrane",2380,1376,0.0295991377019247,0.709184144469543,-0.00510841329572023,"hypo","Cellular components"
"717","GO:0030018 Z disc",83,59,0.0296207121766605,0.709184144469543,-0.0115402263049997,"hypo","Cellular components"
"718","GO:0031975 envelope",833,487,0.0296353285839327,0.709184144469543,-0.00407496562096449,"hypo","Cellular components"
"719","GO:0009725 response to hormone stimulus",650,393,0.0297351237469645,0.709773344137503,-0.00375319893360088,"hypo","Biological processes"
"720","GO:2000757 negative regulation of peptidyl-lysine acetylation",11,10,0.0297425682562567,0.709773344137503,-0.00761523121207901,"hypo","Biological processes"
"721","GO:0000724 double-strand break repair via homologous recombination",55,38,0.0298429490172162,0.711181067980318,0.00132939882881064,"hyper","Biological processes"
"722","GO:0012501 programmed cell death",1559,924,0.0299659143844221,0.712407310776801,-0.00343183810430899,"hypo","Biological processes"
"723","GO:0071453 cellular response to oxygen levels",93,63,0.0299773300949614,0.712407310776801,-0.00224418505007712,"hypo","Biological processes"
"724","GO:0005578 proteinaceous extracellular matrix",362,228,0.0301771584103392,0.713858977249728,-0.00932962751293002,"hypo","Cellular components"
"725","GO:0046390 ribose phosphate biosynthetic process",223,139,0.0302213588503541,0.713858977249728,-0.00652809278366154,"hypo","Biological processes"
"726","GO:0015833 peptide transport",202,131,0.0302809804843759,0.713858977249728,-0.00670685794350223,"hypo","Biological processes"
"727","GO:0048024 regulation of mRNA splicing, via spliceosome",36,27,0.0303019656095744,0.713858977249728,0.00314331377994968,"hyper","Biological processes"
"728","GO:0080134 regulation of response to stress",734,436,0.0303130813785817,0.713858977249728,-0.00312642087765795,"hypo","Biological processes"
"729","GO:0019903 protein phosphatase binding",74,53,0.0303199114510181,0.713858977249728,0.00308366509384362,"hyper","Molecular function"
"730","GO:0048037 cofactor binding",253,157,0.0303292430096788,0.713858977249728,-0.0060901990253127,"hypo","Molecular function"
"731","GO:0006397 mRNA processing",396,236,0.0304670647154667,0.714722220691766,-0.00105947632055627,"hypo","Biological processes"
"732","GO:0006152 purine nucleoside catabolic process",413,260,0.0305247131171054,0.714722220691766,-0.00573247708361457,"hypo","Biological processes"
"733","GO:0046130 purine ribonucleoside catabolic process",413,260,0.0305247131171054,0.714722220691766,-0.00573247708361457,"hypo","Biological processes"
"734","GO:0030666 endocytic vesicle membrane",104,70,0.0305853764558386,0.714722220691766,-0.00063237604099652,"hypo","Cellular components"
"735","GO:0030823 regulation of cGMP metabolic process",17,14,0.0306060012922961,0.714722220691766,-0.0128386162564122,"hypo","Biological processes"
"736","GO:2000243 positive regulation of reproductive process",108,71,0.0306155019455907,0.714722220691766,-0.000395404662416107,"hypo","Biological processes"
"737","GO:0032838 cell projection cytoplasm",67,47,0.030696178720469,0.715256069950901,-0.00166630406841344,"hypo","Cellular components"
"738","GO:0071944 cell periphery",4259,2388,0.0307216260984615,0.715256069950901,-0.008226372337509,"hypo","Cellular components"
"739","GO:0051147 regulation of muscle cell differentiation",110,76,0.0307998553432614,0.715679755313835,-0.00345675226423875,"hypo","Biological processes"
"740","GO:2001257 regulation of cation channel activity",35,27,0.0308678986907932,0.715679755313835,-0.00488245291978795,"hypo","Biological processes"
"741","GO:0042886 amide transport",209,135,0.0309001747603247,0.715679755313835,-0.00664386299263379,"hypo","Biological processes"
"742","GO:0046416 D-amino acid metabolic process",5,5,0.0309064357142862,0.715679755313835,-0.0304217614703621,"hypo","Biological processes"
"743","GO:0060059 embryonic retina morphogenesis in camera-type eye",8,8,0.0311219150411385,0.719699521180136,-0.00023703499073038,"hypo","Biological processes"
"744","GO:0003013 circulatory system process",344,211,0.031187424639927,0.720245067423691,-0.00953767966145291,"hypo","Biological processes"
"745","GO:0043209 myelin sheath",35,27,0.0313166111624349,0.720610070698451,-0.00560234706402245,"hypo","Cellular components"
"746","GO:0005249 voltage-gated potassium channel activity",78,55,0.0313541646718246,0.720610070698451,-0.0124808947395019,"hypo","Molecular function"
"747","GO:0051024 positive regulation of immunoglobulin secretion",7,6,0.031425504610187,0.720610070698451,0.0144687311262642,"hyper","Biological processes"
"748","GO:0032101 regulation of response to external stimulus",380,227,0.031515343772443,0.720610070698451,-0.00615163502319605,"hypo","Biological processes"
"749","GO:0002757 immune response-activating signal transduction",233,150,0.0315733042445166,0.720610070698451,-0.00447798664419061,"hypo","Biological processes"
"750","GO:0051974 negative regulation of telomerase activity",7,7,0.0315969584040608,0.720610070698451,-0.0165720765186882,"hypo","Biological processes"
"751","GO:0009205 purine ribonucleoside triphosphate metabolic process",465,290,0.0316096301747996,0.720610070698451,-0.00585078743599392,"hypo","Biological processes"
"752","GO:0005604 basement membrane",86,62,0.0316171736325489,0.720610070698451,-0.0109679467727012,"hypo","Cellular components"
"753","GO:0051589 negative regulation of neurotransmitter transport",7,7,0.0316505111566756,0.720610070698451,-0.00872653088908634,"hypo","Biological processes"
"754","GO:0008047 enzyme activator activity",394,250,0.0316933490123264,0.720610070698451,-0.00704515006833156,"hypo","Molecular function"
"755","GO:0002429 immune response-activating cell surface receptor signaling pathway",127,85,0.0317331922849249,0.720610070698451,-0.00474408874423734,"hypo","Biological processes"
"756","GO:0030178 negative regulation of Wnt receptor signaling pathway",114,79,0.0317442541992379,0.720610070698451,-0.00351721894734457,"hypo","Biological processes"
"757","GO:0072164 mesonephric tubule development",12,11,0.0317484474169903,0.720610070698451,-0.00422007740870977,"hypo","Biological processes"
"758","GO:0030234 enzyme regulator activity",965,581,0.0318287260976148,0.721479118481818,-0.0062605747350075,"hypo","Molecular function"
"759","GO:0045776 negative regulation of blood pressure",35,25,0.0318775739062293,0.721627040474273,-0.0145442663245291,"hypo","Biological processes"
"760","GO:0005874 microtubule",331,212,0.0319192498405569,0.721627040474273,-0.00582952048222813,"hypo","Cellular components"
"761","GO:0044708 single-organism behavior",340,220,0.0320084214874764,0.722127279018159,-0.00781039097808236,"hypo","Biological processes"
"762","GO:0055012 ventricular cardiac muscle cell differentiation",20,17,0.0320254328140983,0.722127279018159,-0.00489302546237723,"hypo","Biological processes"
"763","GO:0019207 kinase regulator activity",133,88,0.0321446384691548,0.723339929661511,-0.00359767963217351,"hypo","Molecular function"
"764","GO:0016462 pyrophosphatase activity",787,475,0.0321634097463272,0.723339929661511,-0.0044752088408362,"hypo","Molecular function"
"765","GO:0005096 GTPase activator activity",238,158,0.0322199405429745,0.723664076352141,-0.00732569326783195,"hypo","Molecular function"
"766","GO:0060712 spongiotrophoblast layer development",11,10,0.032322473293482,0.725019237765807,-0.00165419802806317,"hypo","Biological processes"
"767","GO:0007169 transmembrane receptor protein tyrosine kinase signaling pathway",626,399,0.0326450337648913,0.730953673750799,-0.00438722734499909,"hypo","Biological processes"
"768","GO:0051348 negative regulation of transferase activity",170,112,0.0326721232359803,0.730953673750799,3.69857851907848e-05,"hyper","Biological processes"
"769","GO:0008046 axon guidance receptor activity",8,8,0.0327326894584585,0.731356398277288,-0.016534233438326,"hypo","Molecular function"
"770","GO:0016528 sarcoplasm",58,42,0.0328654456591869,0.733015677813666,-0.00809235285653798,"hypo","Cellular components"
"771","GO:0070647 protein modification by small protein conjugation or removal",640,388,0.0328941075317753,0.733015677813666,-0.000777031658976337,"hypo","Biological processes"
"772","GO:0016032 viral reproduction",691,404,0.0329503102908097,0.733015677813666,-0.00149700174380132,"hypo","Biological processes"
"773","GO:0002040 sprouting angiogenesis",48,36,0.0329810870746271,0.733015677813666,-0.00719339925377002,"hypo","Biological processes"
"774","GO:0000122 negative regulation of transcription from RNA polymerase II promoter",509,321,0.0330202615893247,0.733015677813666,-0.000808604798834347,"hypo","Biological processes"
"775","GO:0043506 regulation of JUN kinase activity",71,51,0.0331966615732307,0.735668135439186,-0.00897696705848361,"hypo","Biological processes"
"776","GO:0051246 regulation of protein metabolic process",1451,861,0.0332253796473523,0.735668135439186,-0.00351764679046301,"hypo","Biological processes"
"777","GO:0016818 hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",789,476,0.0333043356471804,0.736467303847945,-0.00441460170879931,"hypo","Molecular function"
"778","GO:0008015 blood circulation",343,210,0.0334872798769312,0.739560980521121,-0.00948240681892651,"hypo","Biological processes"
"779","GO:0030900 forebrain development",282,186,0.0336053832579129,0.739991099359536,-0.0011580241824226,"hypo","Biological processes"
"780","GO:0051491 positive regulation of filopodium assembly",22,18,0.0337333077319605,0.739991099359536,-0.0115855620442681,"hypo","Biological processes"
"781","GO:0009146 purine nucleoside triphosphate catabolic process",405,255,0.03375972745572,0.739991099359536,-0.00539728246308084,"hypo","Biological processes"
"782","GO:0005244 voltage-gated ion channel activity",173,115,0.0337815487634218,0.739991099359536,-0.0117036577535299,"hypo","Molecular function"
"783","GO:0022832 voltage-gated channel activity",173,115,0.0337815487634218,0.739991099359536,-0.0117036577535299,"hypo","Molecular function"
"784","GO:0016741 transferase activity, transferring one-carbon groups",189,117,0.0338035144950434,0.739991099359536,-0.00328285072394458,"hypo","Molecular function"
"785","GO:0009119 ribonucleoside metabolic process",549,337,0.0338103772971016,0.739991099359536,-0.00649155568720506,"hypo","Biological processes"
"786","GO:0060996 dendritic spine development",32,25,0.0339389187190842,0.739991099359536,-0.00156080732608952,"hypo","Biological processes"
"787","GO:0032365 intracellular lipid transport",20,16,0.0339754778187626,0.739991099359536,-0.0149128417508262,"hypo","Biological processes"
"788","GO:0051270 regulation of cellular component movement",469,295,0.0339800237368723,0.739991099359536,-0.00715123586479801,"hypo","Biological processes"
"789","GO:0008289 lipid binding",719,447,0.0340201058802683,0.739991099359536,-0.00776239747890626,"hypo","Molecular function"
"790","GO:0007189 adenylate cyclase-activating G-protein coupled receptor signaling pathway",46,33,0.0340235693454798,0.739991099359536,-0.0118333153209268,"hypo","Biological processes"
"791","GO:0047485 protein N-terminus binding",85,59,0.0341124138388239,0.74084206566008,-0.00148941862966957,"hypo","Molecular function"
"792","GO:0001517 N-acetylglucosamine 6-O-sulfotransferase activity",5,5,0.0341489300432303,0.74084206566008,-0.00985777852024113,"hypo","Molecular function"
"793","GO:0042491 auditory receptor cell differentiation",28,22,0.0342564903426915,0.741440075045236,-0.00802756930562718,"hypo","Biological processes"
"794","GO:0031593 polyubiquitin binding",29,22,0.034262799417176,0.741440075045236,-0.00441794870732075,"hypo","Molecular function"
"795","GO:0017134 fibroblast growth factor binding",20,16,0.0343249601790827,0.741850900373584,-0.0102558739029642,"hypo","Molecular function"
"796","GO:0008276 protein methyltransferase activity",68,48,0.0344860766599965,0.743012805233522,-0.00033921013999261,"hypo","Molecular function"
"797","GO:0031226 intrinsic to plasma membrane",1239,723,0.0344995353719025,0.743012805233522,-0.0100226932551072,"hypo","Cellular components"
"798","GO:0021549 cerebellum development",66,48,0.0345084517853772,0.743012805233522,-0.00478537012301323,"hypo","Biological processes"
"799","GO:0015631 tubulin binding",159,105,0.0346821187769384,0.745817477879044,-0.00133510812029443,"hypo","Molecular function"
"800","GO:0009887 organ morphogenesis",800,497,0.0347652449832686,0.746670549128152,-0.00263230127685911,"hypo","Biological processes"
"801","GO:0050680 negative regulation of epithelial cell proliferation",80,56,0.0348205034135823,0.746923707430925,-0.00353135732604546,"hypo","Biological processes"
"802","GO:0061337 cardiac conduction",30,23,0.035084016136975,0.751637861927063,-0.00776403549631483,"hypo","Biological processes"
"803","GO:0033673 negative regulation of kinase activity",159,105,0.0352391976247468,0.754022283422665,0.000447636748512538,"hyper","Biological processes"
"804","GO:0035085 cilium axoneme",53,38,0.0353654956027024,0.754054927916524,-0.00274920213458617,"hypo","Cellular components"
"805","GO:0097014 microtubule-based flagellar cytoplasm",53,38,0.0353654956027024,0.754054927916524,-0.00274920213458617,"hypo","Cellular components"
"806","GO:0043596 nuclear replication fork",27,20,0.0354075345085862,0.754054927916524,0.0035348718109157,"hyper","Cellular components"
"807","GO:0030879 mammary gland development",128,88,0.0354162685850678,0.754054927916524,-0.00392341400714563,"hypo","Biological processes"
"808","GO:0002790 peptide secretion",191,124,0.035470758529038,0.754187676170792,-0.00674877637060072,"hypo","Biological processes"
"809","GO:0044265 cellular macromolecule catabolic process",697,412,0.0355581136404292,0.754187676170792,0.00145890818248099,"hyper","Biological processes"
"810","GO:0071900 regulation of protein serine/threonine kinase activity",368,231,0.0355743713053665,0.754187676170792,-0.00399101001114488,"hypo","Biological processes"
"811","GO:0007638 mechanosensory behavior",8,8,0.0355980796982023,0.754187676170792,-0.0269818385697555,"hypo","Biological processes"
"812","GO:0031065 positive regulation of histone deacetylation",8,8,0.0359410638611557,0.760516452293569,-0.0156833793111174,"hypo","Biological processes"
"813","GO:0005886 plasma membrane",4171,2334,0.0360442568296902,0.761761895261669,-0.00823942825884104,"hypo","Cellular components"
"814","GO:0043966 histone H3 acetylation",46,33,0.0364168763345633,0.767799443730777,0.00416011184014327,"hyper","Biological processes"
"815","GO:0035264 multicellular organism growth",113,77,0.0364193078012213,0.767799443730777,-0.00666203383140649,"hypo","Biological processes"
"816","GO:0034713 type I transforming growth factor beta receptor binding",7,7,0.0365917380625846,0.768786334055892,0.00452911283048186,"hyper","Molecular function"
"817","GO:0051052 regulation of DNA metabolic process",205,127,0.0366048536326198,0.768786334055892,-0.002312834930187,"hypo","Biological processes"
"818","GO:0051213 dioxygenase activity",85,57,0.0366330041373452,0.768786334055892,-0.00438797656405692,"hypo","Molecular function"
"819","GO:0010562 positive regulation of phosphorus metabolic process",663,406,0.036689837849251,0.768786334055892,-0.0057498775487131,"hypo","Biological processes"
"820","GO:0045937 positive regulation of phosphate metabolic process",663,406,0.036689837849251,0.768786334055892,-0.0057498775487131,"hypo","Biological processes"
"821","GO:0030332 cyclin binding",15,13,0.0367711989621236,0.769552668169558,0.00749582302253279,"hyper","Molecular function"
"822","GO:0009311 oligosaccharide metabolic process",36,26,0.0368363030823585,0.769977323067011,-0.00256235950320441,"hypo","Biological processes"
"823","GO:0021953 central nervous system neuron differentiation",126,88,0.0369315251999248,0.771029727806935,-0.00304718795997594,"hypo","Biological processes"
"824","GO:0044723 single-organism carbohydrate metabolic process",570,342,0.0370172460309644,0.771519476686579,-0.00697800199433765,"hypo","Biological processes"
"825","GO:0036294 cellular response to decreased oxygen levels",86,58,0.0370896919883083,0.771519476686579,-0.00318662381319593,"hypo","Biological processes"
"826","GO:0071456 cellular response to hypoxia",86,58,0.0370896919883083,0.771519476686579,-0.00318662381319593,"hypo","Biological processes"
"827","GO:0000226 microtubule cytoskeleton organization",285,181,0.0373310254425031,0.774843050728147,-0.00381985180342336,"hypo","Biological processes"
"828","GO:0016363 nuclear matrix",86,59,0.0374125760020327,0.774843050728147,-0.00485119685946373,"hypo","Cellular components"
"829","GO:0010324 membrane invagination",16,13,0.037457994586007,0.774843050728147,-0.0133146501693319,"hypo","Biological processes"
"830","GO:0014050 negative regulation of glutamate secretion",6,6,0.0374620151181137,0.774843050728147,-0.00868985070638125,"hypo","Biological processes"
"831","GO:0090381 regulation of heart induction",6,6,0.0374749490836393,0.774843050728147,0.00419024867473584,"hyper","Biological processes"
"832","GO:0019907 cyclin-dependent protein kinase activating kinase holoenzyme complex",6,6,0.0375430806969174,0.775318765065426,-0.0133313833289597,"hypo","Cellular components"
"833","GO:0045761 regulation of adenylate cyclase activity",54,39,0.037613598284669,0.775842551893377,-0.00459449176777403,"hypo","Biological processes"
"834","GO:0032870 cellular response to hormone stimulus",386,240,0.0377088079748262,0.776127870264637,-0.00338168778586875,"hypo","Biological processes"
"835","GO:0055001 muscle cell development",159,108,0.0377177727663236,0.776127870264637,-0.00808198704875457,"hypo","Biological processes"
"836","GO:0005212 structural constituent of eye lens",19,13,0.0378090256531375,0.777074974607906,-0.0192838720865159,"hypo","Molecular function"
"837","GO:0046903 secretion",789,473,0.0379463327989282,0.778306562698528,-0.00688242264549734,"hypo","Biological processes"
"838","GO:0006140 regulation of nucleotide metabolic process",349,222,0.0379817277182459,0.778306562698528,-0.00734459142425309,"hypo","Biological processes"
"839","GO:0006352 DNA-dependent transcription, initiation",226,144,0.038045200116021,0.778306562698528,-0.000924061336671537,"hypo","Biological processes"
"840","GO:0016477 cell migration",846,519,0.0380953536227188,0.778306562698528,-0.00606341369552275,"hypo","Biological processes"
"841","GO:0043967 histone H4 acetylation",46,34,0.0381154202219467,0.778306562698528,-0.00393040476243632,"hypo","Biological processes"
"842","GO:0021889 olfactory bulb interneuron differentiation",12,11,0.0381407359906973,0.778306562698528,0.013105359942978,"hyper","Biological processes"
"843","GO:0044248 cellular catabolic process",1689,984,0.038504991502941,0.784807549233134,-0.00354746608582509,"hypo","Biological processes"
"844","GO:1901700 response to oxygen-containing compound",758,451,0.0385928339581512,0.784831333274949,-0.00512345004747026,"hypo","Biological processes"
"845","GO:0016817 hydrolase activity, acting on acid anhydrides",793,477,0.0385975134802311,0.784831333274949,-0.00448310016393831,"hypo","Molecular function"
"846","GO:0051493 regulation of cytoskeleton organization",268,172,0.0387523854204588,0.785908491453901,-0.00181030222673097,"hypo","Biological processes"
"847","GO:0009898 internal side of plasma membrane",101,69,0.0387690786876433,0.785908491453901,-0.00706990463107962,"hypo","Cellular components"
"848","GO:0097190 apoptotic signaling pathway",204,131,0.0388334483322292,0.785908491453901,0.000313599946239087,"hyper","Biological processes"
"849","GO:1900117 regulation of execution phase of apoptosis",204,131,0.0388334483322292,0.785908491453901,0.000313599946239087,"hyper","Biological processes"
"850","GO:0001085 RNA polymerase II transcription factor binding",73,52,0.0389509588272179,0.786175189262338,-0.00125170240802194,"hypo","Molecular function"
"851","GO:0050709 negative regulation of protein secretion",38,26,0.0389685279246662,0.786175189262338,-0.00510719378417532,"hypo","Biological processes"
"852","GO:0034622 cellular macromolecular complex assembly",540,313,0.03898389368243,0.786175189262338,-0.00116089259423258,"hypo","Biological processes"
"853","GO:0044437 vacuolar part",253,156,0.0393805423885599,0.793243234842013,-0.00542891686764519,"hypo","Cellular components"
